level,cell_type,number_of_cells,ds
Level_3,Sncg_5,248,3_Gabitto_MTG_Human_2023
Level_3,Micro-PVM_1,73,3_Gabitto_MTG_Human_2023
Level_3,Vip_14,137,3_Gabitto_MTG_Human_2023
Level_3,Sst_5,577,3_Gabitto_MTG_Human_2023
Level_3,Pvalb_1,915,3_Gabitto_MTG_Human_2023
Level_3,L6 IT_1,923,3_Gabitto_MTG_Human_2023
Level_3,Sst_4,477,3_Gabitto_MTG_Human_2023
Level_3,Pvalb_2,1215,3_Gabitto_MTG_Human_2023
Level_3,Sst_12,768,3_Gabitto_MTG_Human_2023
Level_3,Vip_12,404,3_Gabitto_MTG_Human_2023
Level_3,Sst_20,392,3_Gabitto_MTG_Human_2023
Level_3,Pvalb_9,1090,3_Gabitto_MTG_Human_2023
Level_3,Pvalb_5,281,3_Gabitto_MTG_Human_2023
Level_3,Chandelier_1,464,3_Gabitto_MTG_Human_2023
Level_3,VLMC_2,44,3_Gabitto_MTG_Human_2023
Level_3,Pvalb_7,291,3_Gabitto_MTG_Human_2023
Level_3,L6 CT_3,129,3_Gabitto_MTG_Human_2023
Level_3,Pax6_3,65,3_Gabitto_MTG_Human_2023
Level_3,Astro_3,241,3_Gabitto_MTG_Human_2023
Level_3,Vip_21,154,3_Gabitto_MTG_Human_2023
Level_3,Sst_10,702,3_Gabitto_MTG_Human_2023
Level_3,Vip_5,227,3_Gabitto_MTG_Human_2023
Level_3,Lamp5_4,113,3_Gabitto_MTG_Human_2023
Level_3,L2/3 IT_2,121,3_Gabitto_MTG_Human_2023
Level_3,Sst_23,457,3_Gabitto_MTG_Human_2023
Level_3,Pvalb_10,355,3_Gabitto_MTG_Human_2023
Level_3,Sst_7,245,3_Gabitto_MTG_Human_2023
Level_3,Sncg_2,83,3_Gabitto_MTG_Human_2023
Level_3,OPC_1,51,3_Gabitto_MTG_Human_2023
Level_3,Sncg_3,99,3_Gabitto_MTG_Human_2023
Level_3,Lamp5_1,252,3_Gabitto_MTG_Human_2023
Level_3,Astro_5,87,3_Gabitto_MTG_Human_2023
Level_3,Pvalb_12,482,3_Gabitto_MTG_Human_2023
Level_3,Pvalb_8,168,3_Gabitto_MTG_Human_2023
Level_3,Oligo_3,46,3_Gabitto_MTG_Human_2023
Level_3,L6 CT_4,90,3_Gabitto_MTG_Human_2023
Level_3,L5 ET_1,107,3_Gabitto_MTG_Human_2023
Level_3,L5/6 NP_4,331,3_Gabitto_MTG_Human_2023
Level_3,Chandelier_2,220,3_Gabitto_MTG_Human_2023
Level_3,Vip_16,139,3_Gabitto_MTG_Human_2023
Level_3,Sst_1,263,3_Gabitto_MTG_Human_2023
Level_3,L5/6 NP_6,123,3_Gabitto_MTG_Human_2023
Level_3,Pax6_2,84,3_Gabitto_MTG_Human_2023
Level_3,Pax6_4,119,3_Gabitto_MTG_Human_2023
Level_3,L6b_2,245,3_Gabitto_MTG_Human_2023
Level_3,Astro_4,52,3_Gabitto_MTG_Human_2023
Level_3,L6b_5,110,3_Gabitto_MTG_Human_2023
Level_3,Endo_2,76,3_Gabitto_MTG_Human_2023
Level_3,L5/6 NP_3,118,3_Gabitto_MTG_Human_2023
Level_3,Sst Chodl_2,80,3_Gabitto_MTG_Human_2023
Level_3,Endo_3,6,3_Gabitto_MTG_Human_2023
Level_3,unknown,26750,3_Gabitto_MTG_Human_2023
level_1,Inhibitory neurons,579,4_TorresFlores_Cerebellum_Human
level_1,Excitatory neurons,209,4_TorresFlores_Cerebellum_Human
level_1,Oligodendrocytes,86,4_TorresFlores_Cerebellum_Human
level_1,Macrophage_CCL4 high,76,4_TorresFlores_Cerebellum_Human
level_1,Oligodendrocyte precursor cells,229,4_TorresFlores_Cerebellum_Human
level_1,Endothelial cells,10,4_TorresFlores_Cerebellum_Human
level_1,Astrocyte (Bergmann glia),93,4_TorresFlores_Cerebellum_Human
level_1,Astrocytes,42,4_TorresFlores_Cerebellum_Human
level_1,Interneurons,9,4_TorresFlores_Cerebellum_Human
level_1,T cells,13,4_TorresFlores_Cerebellum_Human
level_1,oligodendrocyte precursor cell,153,5_Jakel_WhiteMatter_Human_2019
level_1,neuron,1768,5_Jakel_WhiteMatter_Human_2019
level_1,oligodendrocyte,3611,5_Jakel_WhiteMatter_Human_2019
level_1,astrocyte,454,5_Jakel_WhiteMatter_Human_2019
level_1,pericyte,134,5_Jakel_WhiteMatter_Human_2019
level_1,endothelial cell,116,5_Jakel_WhiteMatter_Human_2019
level_1,progenitor cell,273,5_Jakel_WhiteMatter_Human_2019
level_1,macrophage,1,5_Jakel_WhiteMatter_Human_2019
level_1,microglial cell,78,5_Jakel_WhiteMatter_Human_2019
level_1,vascular associated smooth muscle cell,3,5_Jakel_WhiteMatter_Human_2019
level_2,COPs,153,5_Jakel_WhiteMatter_Human_2019
level_2,Neuron1,461,5_Jakel_WhiteMatter_Human_2019
level_2,Neuron2,425,5_Jakel_WhiteMatter_Human_2019
level_2,Neuron3,434,5_Jakel_WhiteMatter_Human_2019
level_2,Oligo2,388,5_Jakel_WhiteMatter_Human_2019
level_2,Astrocytes,338,5_Jakel_WhiteMatter_Human_2019
level_2,Oligo6,991,5_Jakel_WhiteMatter_Human_2019
level_2,Oligo1,952,5_Jakel_WhiteMatter_Human_2019
level_2,Oligo4,724,5_Jakel_WhiteMatter_Human_2019
level_2,Oligo3,82,5_Jakel_WhiteMatter_Human_2019
level_2,Pericytes,134,5_Jakel_WhiteMatter_Human_2019
level_2,Neuron4,208,5_Jakel_WhiteMatter_Human_2019
level_2,Neuron5,240,5_Jakel_WhiteMatter_Human_2019
level_2,Oligo5,393,5_Jakel_WhiteMatter_Human_2019
level_2,ImOlGs,81,5_Jakel_WhiteMatter_Human_2019
level_2,Endothelial_cells1,94,5_Jakel_WhiteMatter_Human_2019
level_2,Endothelial_cells2,22,5_Jakel_WhiteMatter_Human_2019
level_2,OPCs,273,5_Jakel_WhiteMatter_Human_2019
level_2,Macrophages,1,5_Jakel_WhiteMatter_Human_2019
level_2,Microglia_Macrophages,78,5_Jakel_WhiteMatter_Human_2019
level_2,Vasc_smooth_muscle,3,5_Jakel_WhiteMatter_Human_2019
level_2,Astrocytes2,116,5_Jakel_WhiteMatter_Human_2019
Level_2,Splatter,267,7_Siletti_CerebralCortex.PrCG.M1C_Human_2022
Level_2,Lower rhombic lip,17,7_Siletti_CerebralCortex.PrCG.M1C_Human_2022
Level_2,Amygdala excitatory,78,7_Siletti_CerebralCortex.PrCG.M1C_Human_2022
Level_2,CGE interneuron,12703,7_Siletti_CerebralCortex.PrCG.M1C_Human_2022
Level_2,Astrocyte,1488,7_Siletti_CerebralCortex.PrCG.M1C_Human_2022
Level_2,Cerebellar inhibitory,8,7_Siletti_CerebralCortex.PrCG.M1C_Human_2022
Level_2,MGE interneuron,17495,7_Siletti_CerebralCortex.PrCG.M1C_Human_2022
Level_2,LAMP5-LHX6 and Chandelier,2474,7_Siletti_CerebralCortex.PrCG.M1C_Human_2022
Level_2,Thalamic excitatory,82,7_Siletti_CerebralCortex.PrCG.M1C_Human_2022
Level_2,Oligodendrocyte precursor,550,7_Siletti_CerebralCortex.PrCG.M1C_Human_2022
Level_2,Eccentric medium spiny neuron,15,7_Siletti_CerebralCortex.PrCG.M1C_Human_2022
Level_2,Miscellaneous,947,7_Siletti_CerebralCortex.PrCG.M1C_Human_2022
Level_2,Midbrain-derived inhibitory,9,7_Siletti_CerebralCortex.PrCG.M1C_Human_2022
Level_2,Committed oligodendrocyte precursor,24,7_Siletti_CerebralCortex.PrCG.M1C_Human_2022
Level_2,Oligodendrocyte,3832,7_Siletti_CerebralCortex.PrCG.M1C_Human_2022
Level_2,Choroid plexus,1,7_Siletti_CerebralCortex.PrCG.M1C_Human_2022
Level_2,Vascular,100,7_Siletti_CerebralCortex.PrCG.M1C_Human_2022
Level_2,Fibroblast,47,7_Siletti_CerebralCortex.PrCG.M1C_Human_2022
Level_2,Microglia,274,7_Siletti_CerebralCortex.PrCG.M1C_Human_2022
Level_2,Hippocampal CA1-3,602,7_Siletti_CerebralCortex.PrCG.M1C_Human_2022
Level_2,Mammillary body,9,7_Siletti_CerebralCortex.PrCG.M1C_Human_2022
Level_2,Upper-layer intratelencephalic,42532,7_Siletti_CerebralCortex.PrCG.M1C_Human_2022
Level_2,Hippocampal dentate gyrus,18,7_Siletti_CerebralCortex.PrCG.M1C_Human_2022
Level_2,Medium spiny neuron,13,7_Siletti_CerebralCortex.PrCG.M1C_Human_2022
Level_2,Deep-layer near-projecting,2665,7_Siletti_CerebralCortex.PrCG.M1C_Human_2022
Level_2,Deep-layer corticothalamic and 6b,7229,7_Siletti_CerebralCortex.PrCG.M1C_Human_2022
Level_2,Deep-layer intratelencephalic,22872,7_Siletti_CerebralCortex.PrCG.M1C_Human_2022
Level_2,Upper rhombic lip,89,7_Siletti_CerebralCortex.PrCG.M1C_Human_2022
Level_2,Hippocampal CA4,3,7_Siletti_CerebralCortex.PrCG.M1C_Human_2022
Level_2,Hippocampal CA1-3,2,8_Siletti_CerebralCortex.MTG_Human_2022
Level_2,Amygdala excitatory,3,8_Siletti_CerebralCortex.MTG_Human_2022
Level_2,Miscellaneous,311,8_Siletti_CerebralCortex.MTG_Human_2022
Level_2,Deep-layer corticothalamic and 6b,3575,8_Siletti_CerebralCortex.MTG_Human_2022
Level_2,Deep-layer near-projecting,1365,8_Siletti_CerebralCortex.MTG_Human_2022
Level_2,Medium spiny neuron,1,8_Siletti_CerebralCortex.MTG_Human_2022
Level_2,Upper-layer intratelencephalic,36938,8_Siletti_CerebralCortex.MTG_Human_2022
Level_2,Deep-layer intratelencephalic,16954,8_Siletti_CerebralCortex.MTG_Human_2022
Level_2,Hippocampal dentate gyrus,1,8_Siletti_CerebralCortex.MTG_Human_2022
Level_2,Splatter,85,8_Siletti_CerebralCortex.MTG_Human_2022
Level_2,MGE interneuron,12511,8_Siletti_CerebralCortex.MTG_Human_2022
Level_2,LAMP5-LHX6 and Chandelier,1554,8_Siletti_CerebralCortex.MTG_Human_2022
Level_2,CGE interneuron,11231,8_Siletti_CerebralCortex.MTG_Human_2022
Level_2,Committed oligodendrocyte precursor,71,8_Siletti_CerebralCortex.MTG_Human_2022
Level_2,Oligodendrocyte,11523,8_Siletti_CerebralCortex.MTG_Human_2022
Level_2,Upper rhombic lip,1,8_Siletti_CerebralCortex.MTG_Human_2022
Level_2,Oligodendrocyte precursor,3014,8_Siletti_CerebralCortex.MTG_Human_2022
Level_2,Astrocyte,4947,8_Siletti_CerebralCortex.MTG_Human_2022
Level_2,Fibroblast,117,8_Siletti_CerebralCortex.MTG_Human_2022
Level_2,Vascular,212,8_Siletti_CerebralCortex.MTG_Human_2022
Level_2,Microglia,2236,8_Siletti_CerebralCortex.MTG_Human_2022
Level_2,Miscellaneous,2474,9_Siletti_CerebralCortex.APH.MEC_Human_2022
Level_2,Microglia,437,9_Siletti_CerebralCortex.APH.MEC_Human_2022
Level_2,Vascular,21,9_Siletti_CerebralCortex.APH.MEC_Human_2022
Level_2,Fibroblast,42,9_Siletti_CerebralCortex.APH.MEC_Human_2022
Level_2,Astrocyte,990,9_Siletti_CerebralCortex.APH.MEC_Human_2022
Level_2,Committed oligodendrocyte precursor,65,9_Siletti_CerebralCortex.APH.MEC_Human_2022
Level_2,Oligodendrocyte,1468,9_Siletti_CerebralCortex.APH.MEC_Human_2022
Level_2,Oligodendrocyte precursor,457,9_Siletti_CerebralCortex.APH.MEC_Human_2022
Level_2,Deep-layer corticothalamic and 6b,6484,9_Siletti_CerebralCortex.APH.MEC_Human_2022
Level_2,Amygdala excitatory,14217,9_Siletti_CerebralCortex.APH.MEC_Human_2022
Level_2,Hippocampal CA1-3,8,9_Siletti_CerebralCortex.APH.MEC_Human_2022
Level_2,Splatter,311,9_Siletti_CerebralCortex.APH.MEC_Human_2022
Level_2,Upper rhombic lip,3,9_Siletti_CerebralCortex.APH.MEC_Human_2022
Level_2,CGE interneuron,11070,9_Siletti_CerebralCortex.APH.MEC_Human_2022
Level_2,MGE interneuron,6404,9_Siletti_CerebralCortex.APH.MEC_Human_2022
Level_2,LAMP5-LHX6 and Chandelier,2089,9_Siletti_CerebralCortex.APH.MEC_Human_2022
Level_2,Eccentric medium spiny neuron,4,9_Siletti_CerebralCortex.APH.MEC_Human_2022
Level_2,Medium spiny neuron,1,9_Siletti_CerebralCortex.APH.MEC_Human_2022
Level_2,Upper-layer intratelencephalic,80,9_Siletti_CerebralCortex.APH.MEC_Human_2022
Level_2,Deep-layer intratelencephalic,3732,9_Siletti_CerebralCortex.APH.MEC_Human_2022
Level_2,Miscellaneous,216,10_Siletti_CerebralCortex.PaO.A43_Human_2022
Level_2,Microglia,437,10_Siletti_CerebralCortex.PaO.A43_Human_2022
Level_2,Vascular,39,10_Siletti_CerebralCortex.PaO.A43_Human_2022
Level_2,Fibroblast,38,10_Siletti_CerebralCortex.PaO.A43_Human_2022
Level_2,Astrocyte,1215,10_Siletti_CerebralCortex.PaO.A43_Human_2022
Level_2,Deep-layer near-projecting,587,10_Siletti_CerebralCortex.PaO.A43_Human_2022
Level_2,Deep-layer corticothalamic and 6b,1351,10_Siletti_CerebralCortex.PaO.A43_Human_2022
Level_2,Deep-layer intratelencephalic,6835,10_Siletti_CerebralCortex.PaO.A43_Human_2022
Level_2,Upper-layer intratelencephalic,17041,10_Siletti_CerebralCortex.PaO.A43_Human_2022
Level_2,Eccentric medium spiny neuron,6,10_Siletti_CerebralCortex.PaO.A43_Human_2022
Level_2,Amygdala excitatory,1,10_Siletti_CerebralCortex.PaO.A43_Human_2022
Level_2,Splatter,45,10_Siletti_CerebralCortex.PaO.A43_Human_2022
Level_2,CGE interneuron,5017,10_Siletti_CerebralCortex.PaO.A43_Human_2022
Level_2,LAMP5-LHX6 and Chandelier,807,10_Siletti_CerebralCortex.PaO.A43_Human_2022
Level_2,MGE interneuron,7105,10_Siletti_CerebralCortex.PaO.A43_Human_2022
Level_2,Committed oligodendrocyte precursor,17,10_Siletti_CerebralCortex.PaO.A43_Human_2022
Level_2,Oligodendrocyte precursor,527,10_Siletti_CerebralCortex.PaO.A43_Human_2022
Level_2,Oligodendrocyte,1522,10_Siletti_CerebralCortex.PaO.A43_Human_2022
Level_2,Fibroblast,62,11_Siletti_CerebralCortex.PPH.TH-TL_Human_2022
Level_2,Vascular,48,11_Siletti_CerebralCortex.PPH.TH-TL_Human_2022
Level_2,Microglia,738,11_Siletti_CerebralCortex.PPH.TH-TL_Human_2022
Level_2,Miscellaneous,1260,11_Siletti_CerebralCortex.PPH.TH-TL_Human_2022
Level_2,Committed oligodendrocyte precursor,41,11_Siletti_CerebralCortex.PPH.TH-TL_Human_2022
Level_2,Oligodendrocyte,2949,11_Siletti_CerebralCortex.PPH.TH-TL_Human_2022
Level_2,Cerebellar inhibitory,2,11_Siletti_CerebralCortex.PPH.TH-TL_Human_2022
Level_2,Splatter,23,11_Siletti_CerebralCortex.PPH.TH-TL_Human_2022
Level_2,Astrocyte,2646,11_Siletti_CerebralCortex.PPH.TH-TL_Human_2022
Level_2,Oligodendrocyte precursor,1939,11_Siletti_CerebralCortex.PPH.TH-TL_Human_2022
Level_2,CGE interneuron,4820,11_Siletti_CerebralCortex.PPH.TH-TL_Human_2022
Level_2,LAMP5-LHX6 and Chandelier,749,11_Siletti_CerebralCortex.PPH.TH-TL_Human_2022
Level_2,MGE interneuron,5239,11_Siletti_CerebralCortex.PPH.TH-TL_Human_2022
Level_2,Amygdala excitatory,15,11_Siletti_CerebralCortex.PPH.TH-TL_Human_2022
Level_2,Upper rhombic lip,4,11_Siletti_CerebralCortex.PPH.TH-TL_Human_2022
Level_2,Upper-layer intratelencephalic,12601,11_Siletti_CerebralCortex.PPH.TH-TL_Human_2022
Level_2,Deep-layer intratelencephalic,5556,11_Siletti_CerebralCortex.PPH.TH-TL_Human_2022
Level_2,Deep-layer corticothalamic and 6b,1555,11_Siletti_CerebralCortex.PPH.TH-TL_Human_2022
Level_2,Deep-layer near-projecting,362,11_Siletti_CerebralCortex.PPH.TH-TL_Human_2022
Level_2,Hippocampal CA1-3,1,11_Siletti_CerebralCortex.PPH.TH-TL_Human_2022
Level_2,Medium spiny neuron,2,12_Siletti_CerebralCortex.STG_Human_2022
Level_2,Eccentric medium spiny neuron,1,12_Siletti_CerebralCortex.STG_Human_2022
Level_2,Deep-layer near-projecting,329,12_Siletti_CerebralCortex.STG_Human_2022
Level_2,Deep-layer intratelencephalic,4148,12_Siletti_CerebralCortex.STG_Human_2022
Level_2,Deep-layer corticothalamic and 6b,968,12_Siletti_CerebralCortex.STG_Human_2022
Level_2,Miscellaneous,66,12_Siletti_CerebralCortex.STG_Human_2022
Level_2,Upper-layer intratelencephalic,12591,12_Siletti_CerebralCortex.STG_Human_2022
Level_2,Splatter,16,12_Siletti_CerebralCortex.STG_Human_2022
Level_2,LAMP5-LHX6 and Chandelier,522,12_Siletti_CerebralCortex.STG_Human_2022
Level_2,CGE interneuron,3963,12_Siletti_CerebralCortex.STG_Human_2022
Level_2,MGE interneuron,4665,12_Siletti_CerebralCortex.STG_Human_2022
Level_2,Amygdala excitatory,1,12_Siletti_CerebralCortex.STG_Human_2022
Level_2,Committed oligodendrocyte precursor,19,12_Siletti_CerebralCortex.STG_Human_2022
Level_2,Oligodendrocyte,8220,12_Siletti_CerebralCortex.STG_Human_2022
Level_2,Oligodendrocyte precursor,1112,12_Siletti_CerebralCortex.STG_Human_2022
Level_2,Astrocyte,2647,12_Siletti_CerebralCortex.STG_Human_2022
Level_2,Choroid plexus,1,12_Siletti_CerebralCortex.STG_Human_2022
Level_2,Fibroblast,50,12_Siletti_CerebralCortex.STG_Human_2022
Level_2,Vascular,61,12_Siletti_CerebralCortex.STG_Human_2022
Level_2,Microglia,1084,12_Siletti_CerebralCortex.STG_Human_2022
Level_2,Amygdala excitatory,13,13_Siletti_CerebralCortex.LIG.Idg_Human_2022
Level_2,Medium spiny neuron,10,13_Siletti_CerebralCortex.LIG.Idg_Human_2022
Level_2,Eccentric medium spiny neuron,19,13_Siletti_CerebralCortex.LIG.Idg_Human_2022
Level_2,Deep-layer near-projecting,874,13_Siletti_CerebralCortex.LIG.Idg_Human_2022
Level_2,Deep-layer corticothalamic and 6b,1755,13_Siletti_CerebralCortex.LIG.Idg_Human_2022
Level_2,Miscellaneous,376,13_Siletti_CerebralCortex.LIG.Idg_Human_2022
Level_2,Upper-layer intratelencephalic,14851,13_Siletti_CerebralCortex.LIG.Idg_Human_2022
Level_2,Deep-layer intratelencephalic,6987,13_Siletti_CerebralCortex.LIG.Idg_Human_2022
Level_2,LAMP5-LHX6 and Chandelier,617,13_Siletti_CerebralCortex.LIG.Idg_Human_2022
Level_2,MGE interneuron,5697,13_Siletti_CerebralCortex.LIG.Idg_Human_2022
Level_2,Splatter,73,13_Siletti_CerebralCortex.LIG.Idg_Human_2022
Level_2,CGE interneuron,5123,13_Siletti_CerebralCortex.LIG.Idg_Human_2022
Level_2,Committed oligodendrocyte precursor,19,13_Siletti_CerebralCortex.LIG.Idg_Human_2022
Level_2,Oligodendrocyte,1172,13_Siletti_CerebralCortex.LIG.Idg_Human_2022
Level_2,Oligodendrocyte precursor,622,13_Siletti_CerebralCortex.LIG.Idg_Human_2022
Level_2,Astrocyte,984,13_Siletti_CerebralCortex.LIG.Idg_Human_2022
Level_2,Fibroblast,18,13_Siletti_CerebralCortex.LIG.Idg_Human_2022
Level_2,Vascular,19,13_Siletti_CerebralCortex.LIG.Idg_Human_2022
Level_2,Microglia,407,13_Siletti_CerebralCortex.LIG.Idg_Human_2022
Level_2,Miscellaneous,47,14_Siletti_CerebralCortex.SMG_Human_2022
Level_2,Microglia,275,14_Siletti_CerebralCortex.SMG_Human_2022
Level_2,Vascular,18,14_Siletti_CerebralCortex.SMG_Human_2022
Level_2,Fibroblast,20,14_Siletti_CerebralCortex.SMG_Human_2022
Level_2,Astrocyte,966,14_Siletti_CerebralCortex.SMG_Human_2022
Level_2,Splatter,21,14_Siletti_CerebralCortex.SMG_Human_2022
Level_2,Committed oligodendrocyte precursor,18,14_Siletti_CerebralCortex.SMG_Human_2022
Level_2,Oligodendrocyte precursor,459,14_Siletti_CerebralCortex.SMG_Human_2022
Level_2,Oligodendrocyte,1294,14_Siletti_CerebralCortex.SMG_Human_2022
Level_2,LAMP5-LHX6 and Chandelier,604,14_Siletti_CerebralCortex.SMG_Human_2022
Level_2,CGE interneuron,5667,14_Siletti_CerebralCortex.SMG_Human_2022
Level_2,MGE interneuron,7147,14_Siletti_CerebralCortex.SMG_Human_2022
Level_2,Eccentric medium spiny neuron,1,14_Siletti_CerebralCortex.SMG_Human_2022
Level_2,Deep-layer intratelencephalic,4797,14_Siletti_CerebralCortex.SMG_Human_2022
